Title,averageRating,voteCount
Wreck-It Ralph,7.3,10921
The Incredible Hulk,6.2,10201
Tarzan,7.4,5815
Hellraiser,6.5,251
Clash of the Titans,5.9,5508
Hercules,7.5,6356
Scary Movie 3,6,3426
The Emperor's New Groove,7.6,5658
The Proposal,7.1,5682
Fear Street: 1994,6.7,1731
The Blind Side,7.7,5329
Maze Runner: The Death Cure,7.1,6640
Transformers: The Last Knight,6.1,5187
Logan,7.8,17226
The Deep House,6.2,727
The Legacy of Chucky,6.5,14
Fifty Shades Darker,6.5,6885
Freddy vs. Jason,6,2110
Hummingbird,6.2,1430
Vesper,6.8,171
Annabelle: Creation,6.6,4881
Deep Water,5.7,842
The Curse of La Llorona,5.7,2008
Kama Sutra: A Tale of Love,5.7,132
Zootopia,7.7,14332
Studio 666,6.2,122
Saw,7.4,7677
Halloween II,5.4,1134
Look Both Ways,7,397
The Addams Family,6.7,1872
Despicable Me,7.2,13499
The Shawshank Redemption,8.7,22535
The Hangover Part III,6.2,7604
Malignant,6.9,1669
Narco Sub,6.7,244
All the Old Knives,6.1,374
Brave,7,11863
Penguins of Madagascar,6.5,3535
Sex and the City,6.6,1868
Zeros and Ones,5,172
Demonic,4.9,157
Mean Girls,7.2,7409
Law Abiding Citizen,7.3,4190
Cinderella,6.8,6373
Spiral: From the Book of Saw,6.1,1379
Ghost Rider: Spirit of Vengeance,5,3253
Child's Play 3,5.9,1245
The Harder They Fall,6.7,798
Fear Street: 1978,7.3,1429
Madagascar 3: Europe's Most Wanted,6.6,5278
What We Leave Behind,6,2
Shutter Island,8.2,20637
Shazam! Fury of the Gods,0,0
The Lucky One,7.1,3118
Machine Gun Preacher,6.7,860
The Hitman's Bodyguard,6.9,5348
Halloween: Resurrection,4.7,1017
Sonic the Hedgehog 3,0,0
The Passion of the Christ,7.4,3599
Southpaw,7.4,4835
Kung Fu Panda,7.2,9717
Halloween: The Curse of Michael Myers,5.2,856
Final Destination,6.6,4613
Silent Hill,6.5,3544
Home Sweet Home Alone,5,446
The Jungle Book,7.3,5448
Hitman: Agent 47,5.8,2618
